template,setup,algorithm,n_edges_target,mean_unfaithfulness,std_unfaithfulness,n
plural_11,eap-ig_20,EAP-IG,1005,0.20391277844707173,0.07584548661821354,4
plural_11,eap-ig_20,EAP-IG,1502,0.12097418308258058,0.05979134084318685,4
plural_11,eap-ig_20,EAP-IG,2000,0.09823518246412277,0.0462614413351623,4
plural_12,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_12,eap-ig_20,EAP-IG,507,0.31302753029468344,0.07669348019803802,4
plural_12,eap-ig_20,EAP-IG,1005,0.2690301555963629,0.050609289244648394,4
plural_12,eap-ig_20,EAP-IG,1502,0.2715896768859193,0.05735607498146421,4
plural_12,eap-ig_20,EAP-IG,2000,0.24913999075375998,0.05706751379357645,4
plural_13,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_13,eap-ig_20,EAP-IG,507,0.20490025045971075,0.22221238858604406,4
plural_13,eap-ig_20,EAP-IG,1005,0.12134107698996861,0.0413044962660806,4
plural_13,eap-ig_20,EAP-IG,1502,0.09409969051678976,0.021864067849172514,4
plural_13,eap-ig_20,EAP-IG,2000,0.10126136740048726,0.013301437769637936,4
plural_14,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_14,eap-ig_20,EAP-IG,507,0.23398361896003345,0.03525316338463433,4
plural_14,eap-ig_20,EAP-IG,1005,0.14543978958066509,0.013564738001137963,4
plural_14,eap-ig_20,EAP-IG,1502,0.10715160412334224,0.017424690663049868,4
plural_14,eap-ig_20,EAP-IG,2000,0.0960866699890012,0.013836020565903972,4
single_0,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_0,eap-ig_20,EAP-IG,507,0.21325574690908797,0.039080950432335615,4
single_0,eap-ig_20,EAP-IG,1005,0.2064720381595581,0.0731168907463174,4
single_0,eap-ig_20,EAP-IG,1502,0.18453900640115445,0.04238009527102087,4
single_0,eap-ig_20,EAP-IG,2000,0.16097817383914875,0.019984217582565186,4
single_1,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_1,eap-ig_20,EAP-IG,507,0.3138453060401887,0.09450126589808082,4
single_1,eap-ig_20,EAP-IG,1005,0.19745125045350456,0.04429440535805556,4
single_1,eap-ig_20,EAP-IG,1502,0.1756616758194539,0.030562991827113608,4
single_1,eap-ig_20,EAP-IG,2000,0.1535359423188909,0.020395255950452426,4
single_2,eap-ig_20,EAP-IG,10,0.9749047868698836,0.04346618416813129,4
single_2,eap-ig_20,EAP-IG,507,0.1192396540548489,0.06369831522879014,4
single_2,eap-ig_20,EAP-IG,1005,0.07313320226248418,0.025016877297547743,4
single_2,eap-ig_20,EAP-IG,1502,0.06737870434593213,0.022488075270459925,4
single_2,eap-ig_20,EAP-IG,2000,0.05259091791941931,0.015586129779149013,4
single_3,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_3,eap-ig_20,EAP-IG,507,0.09495137171311813,0.020433064977922556,4
single_3,eap-ig_20,EAP-IG,1005,0.070563606737238,0.015275237388211944,4
single_3,eap-ig_20,EAP-IG,1502,0.06391627522129001,0.018676322558389153,4
single_3,eap-ig_20,EAP-IG,2000,0.06213379330707318,0.022326752633596063,4
single_4,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_4,eap-ig_20,EAP-IG,507,0.05676003332648959,0.03238710206503662,4
single_4,eap-ig_20,EAP-IG,1005,0.044092288790714175,0.023796463595205545,4
single_4,eap-ig_20,EAP-IG,1502,0.03581756207914579,0.022434311595612873,4
single_4,eap-ig_20,EAP-IG,2000,0.03272735416179611,0.017123981084331275,4
single_5,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_5,eap-ig_20,EAP-IG,507,0.15975427808609394,0.007365454360361273,4
single_5,eap-ig_20,EAP-IG,1005,0.12955233799264473,0.010198897352182759,4
single_5,eap-ig_20,EAP-IG,1502,0.10718191842550298,0.012321357465561934,4
single_5,eap-ig_20,EAP-IG,2000,0.09506529023156464,0.016817002253994108,4
single_6,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_6,eap-ig_20,EAP-IG,507,0.24961666172991198,0.1540847131132501,4
single_6,eap-ig_20,EAP-IG,1005,0.1907122191041708,0.10477672204444428,4
single_6,eap-ig_20,EAP-IG,1502,0.18216457228279775,0.11328069100699731,4
single_6,eap-ig_20,EAP-IG,2000,0.14167263865884808,0.08930196050227393,4
single_7,eap-ig_20,EAP-IG,10,0.8757239444398909,0.032204762237438726,4
single_7,eap-ig_20,EAP-IG,507,0.20161927921949943,0.048308411379249995,4
single_7,eap-ig_20,EAP-IG,1005,0.14552342615366637,0.049194506691841895,4
single_7,eap-ig_20,EAP-IG,1502,0.1130431573428623,0.048768561760498104,4
single_7,eap-ig_20,EAP-IG,2000,0.12986354915008985,0.053616956514079384,4
single_8,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_8,eap-ig_20,EAP-IG,507,0.1724633000941165,0.03117895040808985,4
single_8,eap-ig_20,EAP-IG,1005,0.07437772125393037,0.006227826969946878,4
single_8,eap-ig_20,EAP-IG,1502,0.061559389217850265,0.0076291897316460525,4
single_8,eap-ig_20,EAP-IG,2000,0.05954674330122764,0.009677469756955446,4
single_9,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_9,eap-ig_20,EAP-IG,507,0.15816943663900995,0.016835864772751265,4
single_9,eap-ig_20,EAP-IG,1005,0.14106131348478973,0.009992161417365612,4
single_9,eap-ig_20,EAP-IG,1502,0.13004908161475703,0.027627644598222773,4
single_9,eap-ig_20,EAP-IG,2000,0.12195342957797457,0.03317326670035735,4
single_10,eap-ig_20,EAP-IG,10,1.0,0.0,3
single_10,eap-ig_20,EAP-IG,507,0.00825512409210205,0.0055772081716606026,3
single_10,eap-ig_20,EAP-IG,1005,0.012277682622273764,0.00659953618627298,3
single_10,eap-ig_20,EAP-IG,1502,0.00139083464940389,0.0012297888678238819,3
single_10,eap-ig_20,EAP-IG,2000,0.009888092676798502,0.003291444121488046,3
single_11,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_11,eap-ig_20,EAP-IG,507,0.2303076379544412,0.16978140030884484,4
single_11,eap-ig_20,EAP-IG,1005,0.12720663237075008,0.03842127708652686,4
single_11,eap-ig_20,EAP-IG,1502,0.09939902070909738,0.035531041840853775,4
single_11,eap-ig_20,EAP-IG,2000,0.12185147162526846,0.0438290133113312,4
single_12,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_12,eap-ig_20,EAP-IG,507,0.3271299801469699,0.03895514866592632,4
single_12,eap-ig_20,EAP-IG,1005,0.2534865314798895,0.027208550502858857,4
single_12,eap-ig_20,EAP-IG,1502,0.23912780798320782,0.02316589602849043,4
single_12,eap-ig_20,EAP-IG,2000,0.23061155798774946,0.026493033644570698,4
single_13,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_13,eap-ig_20,EAP-IG,507,0.3702849715948105,0.1424715793917497,4
single_13,eap-ig_20,EAP-IG,1005,0.21042050123214723,0.019365037376972982,4
single_13,eap-ig_20,EAP-IG,1502,0.1727719597518444,0.02983179672004877,4
single_13,eap-ig_20,EAP-IG,2000,0.15179950557649136,0.020507083551685394,4
single_14,eap-ig_20,EAP-IG,10,1.0,0.0,4
single_14,eap-ig_20,EAP-IG,507,0.22430366070422317,0.02510636232902908,4
single_14,eap-ig_20,EAP-IG,1005,0.15502483566264788,0.04219148984740487,4
single_14,eap-ig_20,EAP-IG,1502,0.11495462802426898,0.03055561069599245,4
single_14,eap-ig_20,EAP-IG,2000,0.09192804506486153,0.018454326654359664,4
